coin_id,name,symbol,current_price,market_cap,volume_24h,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_48h,price_change_percentage_72h,price_change_percentage_7d,price_change_percentage_30d,volatility_proxy,trend_forecast,abs_24h,down_1h,volume_ratio,risk_score,risk_reason
bitcoin,Bitcoin,BTC,118843.0,2364452268303,69206282405,0.308267,-3.714508,,,1.678208,0.630367,1.900328,118095.468081,3.714508,0.0,0.029269,40.8,Large 24h move
ethereum,Ethereum,ETH,4629.59,558597469524,65933055006,0.816429,-2.154202,,,18.648338,47.330486,7.206323,4686.347294,2.154202,0.0,0.118033,59.4,High recent volatility
ripple,XRP,XRP,3.1,183882970109,10926046322,0.349083,-6.411307,,,-5.798828,5.903865,4.186406,3.042084,6.411307,0.0,0.059418,57.6,High recent volatility; Large 24h move
tether,Tether,USDT,1.001,165158982958,154820702269,0.009942,0.060208,,,0.053584,0.079353,0.041245,1.001175,0.060208,0.0,0.937404,28.4,Heavy volume vs mcap
binancecoin,BNB,BNB,845.06,117703929877,3804187619,0.752274,-0.392636,,,7.314322,21.897591,2.819744,849.926155,0.392636,0.0,0.03232,36.4,Stable / normal range
solana,Solana,SOL,194.12,104822678963,13896910074,0.402186,-4.217296,,,11.317035,17.828109,5.312172,194.377987,4.217296,0.0,0.132575,57.9,High recent volatility; Large 24h move
usd-coin,USDC,USDC,0.999829,67675904804,28550092047,0.004128,0.002366,,,-0.000365,-0.007694,0.002287,0.999834,0.002366,0.0,0.421865,27.5,Stable / normal range
staked-ether,Lido Staked Ether,STETH,4623.82,40887949736,155222146,0.99321,-2.016646,,,18.664757,47.370933,7.224871,4681.910554,2.016646,0.0,0.003796,58.4,High recent volatility
tron,TRON,TRX,0.361007,34155728900,2482807940,0.361146,-0.567617,,,6.910444,20.280201,2.613069,0.362822,0.567617,0.0,0.072691,36.1,Stable / normal range
dogecoin,Dogecoin,DOGE,0.227061,34139126269,5024338799,0.995298,-8.358753,,,2.613651,12.644081,3.989234,0.223609,8.358753,0.0,0.147172,60.6,High recent volatility; Large 24h move
cardano,Cardano,ADA,0.928447,33697521778,6367397149,0.754851,-2.579486,,,17.331885,23.862526,6.88874,0.9379,2.579486,0.0,0.188957,60.0,High recent volatility
wrapped-steth,Wrapped stETH,WSTETH,5588.18,17863741077,122662666,1.024372,-2.682849,,,18.487193,47.211114,7.398138,5649.675074,2.682849,0.0,0.006867,60.7,High recent volatility; Large 24h move
hyperliquid,Hyperliquid,HYPE,47.07,15708814697,553562163,0.864147,-0.795881,,,15.287009,-2.752673,5.649012,47.638933,0.795881,0.0,0.035239,49.9,High recent volatility
chainlink,Chainlink,LINK,22.52,15262623310,1918708356,0.865435,-5.865839,,,22.766058,39.144527,9.832444,22.704015,5.865839,0.0,0.125713,75.4,High recent volatility; Large 24h move
wrapped-bitcoin,Wrapped Bitcoin,WBTC,118833.0,15093786687,421454794,0.297776,-3.661235,,,1.322084,1.060384,1.760365,118060.7377,3.661235,0.0,0.027922,40.1,Large 24h move
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,4983.4,14727172306,44265551,1.201441,-2.012288,,,18.740916,47.912986,7.318215,5046.395259,2.012288,0.0,0.003006,58.7,High recent volatility
stellar,Stellar,XLM,0.426774,13357551656,776464735,0.38142,-7.606602,,,-5.172457,-7.059784,4.386826,0.41797,7.606602,0.0,0.058129,60.7,High recent volatility; Large 24h move
sui,Sui,SUI,3.79,13302352023,2519303992,0.142281,-6.865932,,,1.028128,-7.069879,2.67878,3.738861,6.865932,0.0,0.189388,52.6,Large 24h move
wrapped-eeth,Wrapped eETH,WEETH,4960.36,12878918317,47666183,1.119807,-2.326615,,,18.574744,47.433896,7.340389,5019.047894,2.326615,0.0,0.003701,59.6,High recent volatility
bitcoin-cash,Bitcoin Cash,BCH,594.97,11840530186,415334358,0.075407,-4.165236,,,3.208095,18.103995,2.482913,591.483648,4.165236,0.0,0.035077,44.4,Large 24h move
ethena-usde,Ethena USDe,USDE,1.002,10990983130,460403977,-0.0068,0.118284,,,0.06794,0.093371,0.064341,1.00231,0.118284,0.0068,0.041889,26.4,Stable / normal range
hedera-hashgraph,Hedera,HBAR,0.2505,10611654210,607213881,0.299537,-7.482987,,,-4.749462,7.244512,4.177329,0.245493,7.482987,0.0,0.057221,59.6,High recent volatility; Large 24h move
weth,WETH,WETH,4630.22,10423400432,1555370104,1.148559,-2.299612,,,18.630889,47.417511,7.359687,4685.498414,2.299612,0.0,0.149219,60.5,High recent volatility
avalanche-2,Avalanche,AVAX,23.95,10112553925,1191112671,-0.188374,-6.191779,,,2.544324,7.221541,2.974826,23.693427,6.191779,0.188374,0.117786,60.3,Large 24h move
litecoin,Litecoin,LTC,122.17,9307216290,1241356161,0.257428,-8.138521,,,-0.554546,25.932927,2.983498,120.021032,8.138521,0.0,0.133376,55.7,High recent volatility; Large 24h move
the-open-network,Toncoin,TON,3.43,8799651959,401941819,0.300809,-3.292887,,,2.667551,9.823376,2.087082,3.414516,3.292887,0.0,0.045677,40.5,Large 24h move
leo-token,LEO Token,LEO,9.4,8673354056,4920617,0.70448,1.574793,,,4.956302,5.433367,2.411858,9.473017,1.574793,0.0,0.000567,37.1,Stable / normal range
shiba-inu,Shiba Inu,SHIB,1.3e-05,7663222952,424806903,0.688256,-6.999324,,,1.149784,-5.714015,2.945788,1.3e-05,6.999324,0.0,0.055434,53.1,Large 24h move
usds,USDS,USDS,0.999602,7628024434,32121250,-0.019713,-0.015015,,,0.010167,-0.0096,0.014965,0.99958,0.015015,0.019713,0.004211,27.2,Stable / normal range
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,1.001,6795483341,2229655264,0.096077,0.106005,,,-0.111301,0.031577,0.104461,1.001123,0.106005,0.0,0.328108,27.5,Stable / normal range
